"t [h]";"van 500";"van 500";"van 500";"van 500";"van 500";"van 500";"van 500";"van 500";"van 500";"van 500";"van 500";"van 500";"van 500";"van 500";"van 500";"van 500";"van 500";"van 500"
0,0000;-5,405000;267,097000;122,588000;-312,868000;-497,341000;-447,379000;113,361000;855,773000;-95,826000;;;;;;;;;
6,0000;3026,477500;2822,080300;4168,011000;3092,371300;2832,016400;2887,243400;3681,594500;3689,774400;3329,856400;;;;;;;;;
12,0000;4681,937000;5020,459000;5199,447000;5975,831000;4645,138000;5029,297000;4739,721000;4731,869000;4904,621000;;;;;;;;;
18,0000;5558,218000;5689,747600;7682,008000;5283,438000;5650,657700;5743,427700;5609,398000;4986,565000;5201,867700;;;;;;;;;
24,0000;6634,445300;6573,492000;6954,445300;7154,073000;6488,427200;6362,184000;6423,319300;6323,549300;6173,895000;;;;;;;;;
30,0000;6805,625500;6773,585400;6581,355500;7232,835400;6373,615000;7059,375500;6061,595000;6157,365000;6117,465300;;;;;;;;;
36,0000;7475,318000;7760,568000;8881,188000;6139,138000;6487,708000;6743,318000;6069,008300;5647,128000;5666,658000;;;;;;;;;
42,0000;6334,521500;5951,630400;6297,863000;6384,047400;5625,011700;5275,614700;5382,234400;5215,114000;5265,638700;;;;;;;;;
48,0000;6326,716300;5882,963400;6081,484400;7051,307000;6057,546400;6591,447300;5457,391000;6123,797400;6575,867000;;;;;;;;;
66,0000;2430,206500;2508,761500;3698,863500;2976,024700;3364,961700;3066,776600;2358,429400;2583,235600;2494,088600;;;;;;;;;
90,0000;178,035340;148,251330;163,143330;796,402340;604,094360;1000,483300;250,514330;484,889340;207,546330;;;;;;;;;
114,0000;602,169560;218,285550;2304,944600;-136,837450;54,409557;194,166550;-27,004444;-34,401443;176,397550;;;;;;;;;